close,high,low,open,volume,daily_volatility,daily_movement,dividend_cash,ticker,^VIX,^GSPC,^IXIC,^IRX,^FVX,^TNX,^TYX,CL=F,DX-Y.NYB,VIX_pct_change,VIX_lag1,VIX_lag2,Date,M1SL,M2SL,CPIAUCSL,PAYEMS,UMCSENT,Close_MA5,Close_MA10,Close_MA20,Close_MA50,Close_MA200,RSI14,ROC_5d,daily_price_direction,obv,cum_price_volume,cum_volume,VWAP,VWAP_deviation,CLV,relative_strength_nasdaq,relative_strength_nasdaq_norm,close_norm,^IXIC_norm
27.332500457763672,27.860000610351562,26.837499618530273,27.84749984741211,212818400,1.022500991821289,-0.5149993896484375,0.0,AAPL,17.790000915527344,2058.199951171875,4726.81005859375,0.014999999664723873,1.6180000305175781,2.122999906539917,2.697000026702881,52.689998626708984,91.08000183105469,,,,2015-01-02,2955.6,11788.8,234.747,140568.0,98.1,27.332500457763672,27.332500457763672,27.332500457763672,27.332500457763672,27.332500457763672,,,0.0,0.0,5816859015.420532,212818400,27.332500457763672,0.0,0.48410793064532676,0.005782441037179148,0.0,0.0,0.0
26.5625,27.162500381469727,26.352500915527344,27.072500228881836,257142000,0.8099994659423828,-0.5100002288818359,0.0,AAPL,19.920000076293945,2020.5799560546875,4652.56982421875,0.003000000026077032,1.5679999589920044,2.0390000343322754,2.6050000190734863,50.040000915527344,91.37999725341797,0.11973013216134865,17.790000915527344,,2015-01-05,2955.6,11788.8,234.747,140568.0,98.1,26.947500228881836,26.947500228881836,26.947500228881836,26.947500228881836,26.947500228881836,0.0,,-1.0,-257142000.0,12647193390.420532,469960400,26.911189518139256,-1.2957045912230116,0.2592582999154644,0.005709210394163256,-0.012664312968354241,-0.028171606873419353,-0.015706202164824656
26.565000534057617,26.857500076293945,26.157499313354492,26.635000228881836,263188400,0.7000007629394531,-0.06999969482421875,0.0,AAPL,21.1200008392334,2002.6099853515625,4592.740234375,0.019999999552965164,1.4930000305175781,1.9630000591278076,2.5230000019073486,47.93000030517578,91.5,0.06024100192487092,19.920000076293945,17.790000915527344,2015-01-06,2955.6,11788.8,234.747,140568.0,98.1,26.820000330607098,26.820000330607098,26.820000330607098,26.820000330607098,26.820000330607098,0.049935742488514734,,1.0,6046400.0,19638793376.978302,733148800,26.78691334825659,-0.8284374213403571,0.5821439665178937,0.005784128685360473,0.0002918573956005588,-0.02808012113242464,-0.028363700372304845
26.9375,27.049999237060547,26.674999237060547,26.799999237060547,160423600,0.375,0.13750076293945312,0.0,AAPL,19.309999465942383,2025.9000244140625,4650.47021484375,0.019999999552965164,1.4730000495910645,1.9539999961853027,2.515000104904175,48.650001525878906,91.88999938964844,-0.08570081919356187,21.1200008392334,19.920000076293945,2015-01-07,2955.6,11788.8,234.747,140568.0,98.1,26.849375247955322,26.849375247955322,26.849375247955322,26.849375247955322,26.849375247955322,7.950761747713813,,1.0,166470000.0,23960204101.978302,893572400,26.813948262030365,0.46077413427618547,0.7000020345052084,0.0057924250141456,0.0017266024681026337,-0.014451676617514675,-0.016150393775863137
27.97249984741211,28.037500381469727,27.174999237060547,27.3075008392334,237458000,0.8625011444091797,0.6649990081787109,0.0,AAPL,17.010000228881836,2062.139892578125,4736.18994140625,0.017999999225139618,1.496000051498413,2.0160000324249268,2.5929999351501465,48.790000915527344,92.37000274658203,-0.11910923359252923,19.309999465942383,21.1200008392334,2015-01-08,2955.6,11788.8,234.747,140568.0,98.1,27.07400016784668,27.07400016784668,27.07400016784668,27.07400016784668,27.07400016784668,26.56191555872624,,1.0,403928000.0,30602497970.745087,1131030400,27.057184290311813,3.3828928660105895,0.9246371619574568,0.005906118672070536,0.021388481801402293,0.02341532530612822,0.0019844001972211256
28.002500534057617,28.3125,27.552499771118164,28.167499542236328,214798000,0.7600002288818359,-0.16499900817871094,0.0,AAPL,17.549999237060547,2044.81005859375,4704.06982421875,0.014999999664723873,1.4429999589920044,1.9709999561309814,2.555999994277954,48.36000061035156,91.94000244140625,0.03174597301073678,17.010000228881836,19.309999465942383,2015-01-09,2955.6,11788.8,234.747,140568.0,98.1,27.20800018310547,27.228750228881836,27.228750228881836,27.228750228881836,27.228750228881836,27.05518740446638,2.451294484854327,1.0,618726000.0,36617379080.459595,1345828400,27.208059423073248,2.9198742131188506,0.5921060887067428,0.0059528241672535676,0.029465606130510302,0.024512944848543272,-0.004810905048671543
27.3125,28.157499313354492,27.200000762939453,28.149999618530273,198603200,0.9574985504150391,-0.8374996185302734,0.0,AAPL,19.600000381469727,2028.260009765625,4664.7099609375,0.013000000268220901,1.3880000114440918,1.9119999408721924,2.492000102996826,46.06999969482422,91.9800033569336,0.11680918709558497,17.549999237060547,17.010000228881836,2015-01-12,2955.6,11788.8,234.747,140568.0,98.1,27.358000183105467,27.240714481898717,27.240714481898717,27.240714481898717,27.240714481898717,22.96216629433789,2.8235294117647136,-1.0,420122800.0,42041728980.459595,1544431600,27.221489757435418,0.33433233586976424,0.1174928536568361,0.005855133594310505,0.01257125782415569,-0.0007317463616099973,-0.013137844949649868
27.55500030517578,28.200000762939453,27.227500915527344,27.857500076293945,268367600,0.9724998474121094,-0.30249977111816406,0.0,AAPL,20.559999465942383,2023.030029296875,4661.5,0.023000000044703484,1.3589999675750732,1.8899999856948853,2.4820001125335693,45.88999938964844,92.30999755859375,0.04897954417287975,19.600000381469727,17.549999237060547,2015-01-13,2955.6,11788.8,234.747,140568.0,98.1,27.5560001373291,27.28000020980835,27.28000020980835,27.28000020980835,27.28000020980835,27.41514116137833,3.7267071380214567,1.0,688490400.0,49436598280.35889,1812799200,27.27086280728659,1.0419087210297981,0.3367603506776237,0.00591118745150183,0.0222650630581247,0.008140486369182964,-0.013816941612665556
27.450000762939453,27.622499465942383,27.125,27.260000228881836,195826400,0.4974994659423828,0.1900005340576172,0.0,AAPL,21.479999542236328,2011.27001953125,4639.31982421875,0.02500000037252903,1.3029999732971191,1.8370000123977661,2.4509999752044678,48.47999954223633,92.16000366210938,0.04474708658518822,20.559999465942383,19.600000381469727,2015-01-14,2955.6,11788.8,234.747,140568.0,98.1,27.658500289916994,27.29888916015625,27.29888916015625,27.29888916015625,27.29888916015625,26.645663969176624,1.9025550364341726,-1.0,492664000.0,54812033109.76257,2008625600,27.288327456228068,0.5924632316536006,0.6532685664774013,0.005916815783995225,0.023238411935736725,0.004298922645491254,-0.018509361131601842
26.704999923706055,27.514999389648438,26.665000915527344,27.5,240056000,0.8499984741210938,-0.7950000762939453,0.0,AAPL,22.389999389648438,1992.6700439453125,4570.81982421875,0.023000000044703484,1.2239999771118164,1.774999976158142,2.4110000133514404,46.25,92.3499984741211,0.04236498448814063,21.479999542236328,20.559999465942383,2015-01-15,2955.6,11788.8,234.747,140568.0,98.1,27.405000305175783,27.23950023651123,27.23950023651123,27.23950023651123,27.23950023651123,21.66692079562617,-4.531235787363197,-1.0,252608000.0,61222728571.447754,2248681600,27.226054845402636,-1.9138098584436165,0.04705774115661829,0.00584249674034581,0.010385873851635363,-0.02295803616750247,-0.033001164091922
